,0
165,0.1716
166,0.1716
167,0.1716
168,0.1716
169,0.1716
170,0.1716
171,0.1716
172,0.1716
173,0.1716
174,0.1716
175,0.1716
176,0.1716
177,0.1716
178,0.1716
179,0.1716
180,0.1716
181,0.1716
182,0.1716
183,0.1716
184,0.1716
185,0.1716
186,0.1716
187,0.1716
188,0.1716
189,0.1716
190,0.1716
191,0.1716
192,0.1716
193,0.1716
194,0.1716
195,0.1716
196,0.1716
197,0.1716
198,0.1716
199,0.1716
200,0.1716
201,0.1716
202,0.1716
203,0.1716
204,0.1716
205,0.1716
206,0.1716
207,0.1716
208,0.1716
209,0.1716
210,0.1716
211,0.1716
212,0.1716
213,0.1716
214,0.1716
215,0.1716
216,0.1716
217,0.1716
218,0.1716
219,0.1716
220,0.1716
221,0.1716
222,0.1716
223,0.1716
224,0.1716
225,0.1716
226,0.1716
227,0.1716
228,0.1716
229,0.1716
230,0.1716
231,0.1716
232,0.1716
233,0.1716
234,0.1716
235,0.1716
236,0.1716
237,0.1716
238,0.1716
239,0.1716
240,0.1716
241,0.1716
242,0.1716
243,0.1716
244,0.1716
245,0.1716
246,0.1716
247,0.1716
248,0.1716
249,0.1716
250,0.1716
251,0.1716
252,0.1716
253,0.1716
254,0.1716
255,0.1716
256,0.1716
257,0.1716
258,0.1716
259,0.1716
260,0.1716
261,0.1716
262,0.1716
263,0.1716
264,0.1716
265,0.1716
266,0.1716
267,0.1716
268,0.1716
269,0.1716
270,0.1716
271,0.1716
272,0.1716
273,0.1716
274,0.1716
275,0.1716
276,0.1716
277,0.1716
278,0.1716
279,0.1716
280,0.1716
281,0.1716
282,0.1716
283,0.1716
284,0.1716
285,0.1716
286,0.1716
287,0.1716
288,0.1716
289,0.1716
290,0.1716
291,0.1716
292,0.1716
293,0.1716
294,0.1716
295,0.1716
296,0.1716
297,0.1716
298,0.1716
299,0.1716
300,0.1716
301,0.1716
302,0.1716
303,0.1716
304,0.1716
305,0.1716
306,0.1716
307,0.1716
308,0.1716
309,0.1716
310,0.1716
311,0.1716
312,0.1716
313,0.1716
314,0.1716
315,0.1716
316,0.1716
317,0.1716
318,0.1716
319,0.1716
320,0.1716
321,0.1716
322,0.1716
323,0.1716
324,0.1716
325,0.1716
326,0.1716
327,0.1716
328,0.1716
329,0.1716
330,0.1716
331,0.1716
332,0.1716
333,0.1716
334,0.1716
335,0.1716
336,0.1716
337,0.1716
338,0.1716
339,0.1716
340,0.1716
341,0.1716
342,0.1716
343,0.1716
344,0.1716
345,0.1716
346,0.1716
347,0.1716
348,0.1716
349,0.1716
350,0.1716
351,0.1716
352,0.1716
353,0.1716
354,0.1716
355,0.1716
356,0.1716
357,0.1716
358,0.1716
359,0.1716
360,0.1716
361,0.1716
362,0.1716
363,0.1716
364,0.1716
365,0.1716
366,0.1716
367,0.1716
368,0.1716
369,0.1716
370,0.1716
371,0.1716
372,0.1716
373,0.1716
374,0.1716
375,0.1716
376,0.1716
377,0.1716
378,0.1716
379,0.1716
380,0.1716
381,0.1716
382,0.1716
383,0.1716
384,0.1716
385,0.1716
386,0.1716
387,0.1716
388,0.1716
389,0.1716
390,0.1716
391,0.1716
392,0.1716
393,0.1716
394,0.1716
395,0.1716
396,0.1716
397,0.1716
398,0.1716
399,0.1716
400,0.1716
401,0.1716
402,0.1716
403,0.1716
404,0.1716
405,0.1716
406,0.1716
407,0.1716
408,0.1716
409,0.1716
410,0.1716
411,0.1716
412,0.1716
413,0.1716
414,0.1716
415,0.1716
416,0.1716
417,0.1716
418,0.1716
419,0.1716
420,0.1716
421,0.1716
422,0.1716
423,0.1716
424,0.1716
425,0.1716
426,0.1716
427,0.1716
428,0.1716
429,0.1716
430,0.1716
431,0.1716
432,0.1716
433,0.1716
434,0.1716
435,0.1716
436,0.1716
437,0.1716
438,0.1716
439,0.1716
440,0.1716
441,0.1716
442,0.1716
443,0.1716
444,0.1716
445,0.1716
446,0.1716
447,0.1716
448,0.1716
449,0.1716
450,0.1716
451,0.1716
452,0.1716
453,0.1716
454,0.1716
455,0.1716
456,0.1716
457,0.1716
458,0.1716
459,0.1716
460,0.1716
461,0.1716
462,0.1716
463,0.1716
464,0.1716
465,0.1716
466,0.1716
467,0.1716
468,0.1716
469,0.1716
470,0.1716
471,0.1716
472,0.1716
473,0.1716
474,0.1716
475,0.1716
476,0.1716
477,0.1716
478,0.1716
479,0.1716
480,0.1716
481,0.1716
482,0.1716
483,0.1716
484,0.1716
485,0.1716
486,0.1716
487,0.1716
488,0.1716
489,0.1716
490,0.1716
491,0.1716
492,0.1716
493,0.1716
494,0.1716
495,0.1716
496,0.1716
497,0.1716
498,0.1716
499,0.1716
